                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.71788,                0.60103,                 1.2229,                0.90483,                0.63482,                 1.2191,                0.88256,                0.79812,                0.86125,                0.48763,                 1.3457,                0.72349,                 1.6554,                 1.5221,                0.79554,                 1.5998,              0.0004456,              0.0004456,              0.0004456
                     87,                0.70336,                0.59126,                 1.2243,                 0.8773,                0.62303,                  1.221,                 0.8623,                0.80591,                0.84603,                0.48243,                 1.3874,                 0.7361,                 1.6719,                 1.5414,                0.83325,                  1.595,               0.000439,               0.000439,               0.000439
                     88,                  0.721,                0.59623,                 1.2183,                0.92375,                0.63881,                 1.2151,                  0.868,                0.82059,                0.85776,                0.48512,                  1.381,                0.73544,                 1.6764,                 1.5466,                0.83272,                 1.5855,              0.0004324,              0.0004324,              0.0004324
                     89,                0.69554,                0.58865,                 1.2096,                0.87586,                0.62328,                 1.2065,                0.88728,                0.78393,                0.84812,                0.47927,                 1.3812,                0.72235,                 1.6852,                 1.5564,                0.82847,                 1.5976,              0.0004258,              0.0004258,              0.0004258
                     90,                0.70008,                0.59057,                 1.2076,                0.88316,                0.62239,                 1.2096,                0.87257,                0.79825,                 0.8463,                  0.481,                 1.3205,                0.71122,                 1.6474,                 1.5126,                0.82054,                 1.5861,              0.0004192,              0.0004192,              0.0004192
                     91,                0.70125,                0.58219,                  1.194,                 0.8896,                0.61417,                 1.1913,                 0.9037,                0.78767,                0.85458,                0.49028,                 1.3517,                0.71668,                  1.661,                 1.5731,                0.76493,                 1.6058,              0.0004126,              0.0004126,              0.0004126
                     92,                0.69251,                0.58372,                 1.2057,                0.88306,                0.61709,                 1.2005,                0.88266,                0.78512,                0.85168,                0.48639,                 1.3483,                0.71979,                 1.6532,                 1.5212,                0.81836,                 1.5702,               0.000406,               0.000406,               0.000406
                     93,                0.68587,                0.57508,                 1.2006,                0.87074,                0.61199,                 1.1964,                0.89495,                0.78418,                0.84568,                0.47857,                  1.383,                0.72439,                 1.6592,                 1.5981,                0.83037,                 1.6031,              0.0003994,              0.0003994,              0.0003994
                     94,                0.68694,                0.58549,                 1.2022,                0.85798,                0.62107,                 1.1983,                0.89206,                 0.7863,                0.85061,                0.48632,                 1.3779,                 0.6981,                 1.6561,                  1.609,                0.75717,                 1.6326,              0.0003928,              0.0003928,              0.0003928
                     95,                 0.6852,                0.57456,                  1.201,                0.87236,                0.59806,                 1.1997,                0.89335,                0.79418,                0.85408,                0.48334,                 1.3376,                0.72748,                 1.6219,                  1.532,                0.80377,                 1.5641,              0.0003862,              0.0003862,              0.0003862
                     96,                0.68884,                0.57673,                 1.1971,                0.88538,                0.59941,                 1.1941,                0.87804,                0.78434,                0.85014,                0.48611,                 1.3614,                0.71423,                 1.6505,                 1.5535,                0.82102,                 1.5731,              0.0003796,              0.0003796,              0.0003796
                     97,                0.68412,                0.57006,                 1.1959,                 0.8713,                0.59309,                 1.1962,                0.90197,                0.78806,                0.86607,                0.48794,                 1.3689,                0.72673,                 1.6571,                 1.5262,                0.77875,                 1.5955,               0.000373,               0.000373,               0.000373
