                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3616,                0.86908,                 1.4868,                 1.4836,                 1.0401,                 1.4406,                0.81283,                0.74777,                0.81722,                0.46607,                 1.6649,                0.87106,                 1.6868,                 1.7334,                  1.068,                  1.569,               0.000505,               0.000505,               0.000505
                     53,                 1.3751,                0.89125,                 1.4877,                 1.4984,                  1.077,                 1.4359,                0.80398,                0.74552,                0.80567,                0.46308,                 1.6638,                0.88657,                 1.7267,                 1.7366,                 1.0524,                 1.5959,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.3393,                0.86921,                 1.4767,                 1.4607,                 1.0478,                 1.4303,                0.79779,                0.72411,                0.80457,                0.46471,                 1.6747,                0.88874,                 1.6926,                 1.7997,                 1.0035,                 1.6062,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.3471,                0.85807,                 1.4685,                 1.4692,                 1.0321,                 1.4256,                0.82926,                0.72904,                0.81152,                0.47351,                  1.681,                0.84915,                 1.7209,                 1.7418,                 1.0176,                 1.5909,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.3394,                0.85102,                 1.4635,                 1.4699,                  1.015,                 1.4214,                0.82555,                0.72129,                 0.8149,                0.47409,                 1.6779,                0.84202,                 1.7124,                 1.7612,                0.95754,                 1.5854,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.3395,                 0.8651,                 1.4669,                 1.4742,                 1.0437,                 1.4298,                 0.8701,                 0.7018,                0.80534,                0.46153,                 1.7238,                0.90163,                 1.7246,                 1.7942,                 1.0295,                  1.601,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.3287,                0.85372,                 1.4605,                 1.4637,                 1.0344,                 1.4207,                0.81297,                0.70875,                0.80549,                0.46418,                 1.6963,                0.88387,                 1.7567,                  1.775,                 1.0691,                 1.6136,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.3352,                0.84464,                 1.4471,                 1.4654,                 1.0095,                 1.4013,                0.86526,                0.71208,                0.81146,                0.46902,                 1.6657,                0.85267,                 1.6987,                  1.803,                0.96948,                 1.6099,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.3223,                0.84492,                 1.4547,                  1.442,                 1.0214,                  1.415,                0.83558,                0.71366,                0.80877,                0.46652,                 1.6428,                 0.8618,                 1.6925,                 1.7952,                0.92545,                  1.613,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.3338,                0.83761,                 1.4457,                 1.4801,                 1.0261,                 1.4023,                0.80027,                0.73406,                0.80806,                0.47406,                   1.64,                0.84823,                 1.6796,                 1.7456,                 1.0072,                 1.5778,              0.0004159,              0.0004159,              0.0004159
                     62,                    1.3,                0.81832,                 1.4308,                  1.434,                0.99177,                 1.3932,                0.79137,                0.76492,                0.82319,                0.47589,                 1.6587,                0.83226,                 1.7214,                 1.7212,                 1.0715,                 1.6092,               0.000406,               0.000406,               0.000406
                     63,                 1.3031,                0.82031,                 1.4538,                  1.429,                0.98214,                 1.4207,                0.81439,                0.74145,                 0.8097,                0.46647,                 1.6834,                0.85562,                 1.7494,                 1.8061,                0.99022,                 1.6385,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.3223,                0.82464,                 1.4477,                 1.4601,                0.99944,                 1.4061,                0.83541,                0.73221,                0.81397,                0.45705,                 1.6576,                 0.8408,                 1.7076,                  1.778,                0.99559,                 1.6205,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2994,                0.81252,                 1.4345,                 1.4348,                0.97751,                  1.402,                0.81542,                0.72878,                0.81313,                0.46513,                 1.6686,                 0.8147,                 1.7011,                 1.7419,                0.97375,                 1.5959,              0.0003763,              0.0003763,              0.0003763
                     66,                  1.294,                0.80816,                 1.4339,                 1.4425,                0.97209,                 1.4012,                0.82647,                0.73322,                0.81085,                0.46822,                 1.6843,                0.83157,                 1.7439,                  1.799,                0.98279,                 1.6222,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.2839,                0.80349,                 1.4201,                 1.4189,                 0.9448,                 1.3827,                0.82684,                0.75169,                0.82557,                0.47034,                 1.6869,                0.83272,                 1.7129,                  1.768,                0.98718,                 1.6125,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.2787,                0.80025,                  1.411,                 1.4286,                0.96232,                 1.3792,                 0.8293,                 0.7615,                0.81951,                0.47607,                 1.6899,                0.81415,                  1.698,                  1.762,                0.93708,                 1.5994,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.2853,                0.79783,                 1.4174,                 1.4246,                0.95781,                 1.3828,                  0.852,                0.76253,                0.82784,                0.48119,                 1.6565,                0.80352,                 1.7297,                 1.7712,                0.87458,                 1.6061,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.2807,                0.79341,                  1.412,                  1.418,                0.93909,                 1.3747,                0.83852,                0.74006,                0.81729,                0.47473,                 1.6782,                0.83944,                 1.7092,                 1.7244,                 1.0215,                 1.5842,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.2594,                0.76785,                 1.4056,                 1.3905,                0.90985,                 1.3733,                0.82553,                0.73645,                0.81523,                0.47291,                 1.6818,                0.83279,                 1.6993,                  1.757,                0.99674,                 1.5865,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.2651,                0.77796,                 1.4069,                 1.4071,                0.93477,                 1.3752,                0.83824,                0.74716,                0.82388,                0.47231,                 1.6916,                0.81088,                  1.723,                 1.7526,                 1.0117,                 1.6168,               0.000307,               0.000307,               0.000307
                     73,                 1.2876,                0.78775,                 1.4106,                 1.4322,                 0.9428,                 1.3738,                0.83352,                0.75753,                0.81663,                0.47015,                 1.6507,                 0.8089,                 1.6876,                 1.7867,                 0.9505,                 1.5921,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.2454,                0.76514,                 1.3818,                 1.3959,                0.91362,                 1.3525,                0.83694,                0.76273,                0.82969,                0.47963,                 1.6454,                0.79137,                 1.6896,                 1.7469,                  0.923,                 1.6084,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.2581,                0.76682,                 1.4006,                 1.4027,                0.91032,                 1.3667,                0.86753,                0.72853,                0.82401,                0.47581,                 1.7104,                0.84406,                 1.7416,                 1.7891,                0.95256,                 1.6184,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.2563,                0.77554,                 1.3908,                 1.4067,                0.93157,                 1.3585,                0.82276,                0.77062,                0.82745,                0.47781,                 1.6921,                0.82511,                 1.7398,                 1.7728,                0.96471,                 1.6312,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.2209,                0.75389,                 1.3852,                  1.353,                0.89169,                 1.3555,                0.84177,                0.77448,                0.83433,                0.48566,                 1.6633,                0.77082,                 1.7091,                  1.747,                 0.8856,                  1.607,              0.0002575,              0.0002575,              0.0002575
                     78,                  1.238,                0.75607,                 1.3849,                  1.381,                0.89325,                 1.3579,                0.84471,                0.75253,                0.82036,                0.47339,                 1.6715,                0.79043,                 1.6986,                 1.7483,                0.93463,                 1.5755,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.2289,                 0.7516,                 1.3737,                  1.378,                0.88688,                 1.3477,                0.82896,                0.75277,                0.81792,                0.46975,                 1.6681,                0.80037,                 1.7188,                 1.7635,                0.94005,                 1.6158,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.2156,                0.74575,                 1.3671,                 1.3644,                0.88533,                 1.3397,                0.83747,                0.74913,                 0.8227,                0.46815,                 1.6913,                0.81072,                 1.7404,                 1.7908,                0.97261,                 1.6245,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.2277,                0.76122,                 1.3896,                 1.3614,                0.89941,                 1.3638,                0.83936,                0.76337,                0.83071,                 0.4752,                 1.6909,                0.79316,                 1.7378,                 1.7962,                0.89903,                 1.6362,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.2147,                0.74668,                 1.3795,                  1.359,                0.88953,                 1.3461,                0.81695,                 0.7551,                0.82219,                0.48156,                 1.6526,                0.78099,                 1.7236,                 1.7911,                0.88544,                 1.6248,               0.000208,               0.000208,               0.000208
                     83,                 1.2008,                0.73153,                  1.378,                 1.3358,                0.86283,                 1.3526,                0.84843,                0.75566,                0.82692,                0.47775,                 1.6723,                0.79579,                 1.7143,                 1.7801,                0.91313,                  1.615,              0.0001981,              0.0001981,              0.0001981
