                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 0.5834,                0.33574,                0.90586,                0.91947,                  0.834,                0.89937,                0.54447,                 1.6151,                0.67014,                 1.6314,               0.000505,               0.000505,               0.000505
                    102,                0.55944,                0.32585,                0.90063,                0.88953,                0.84947,                0.89224,                0.55478,                 1.5812,                0.63776,                 1.5931,             0.00050005,             0.00050005,             0.00050005
                    103,                0.57743,                0.33051,                0.90535,                0.90242,                 0.8556,                0.89747,                0.55263,                  1.607,                0.65994,                 1.6503,              0.0004951,              0.0004951,              0.0004951
                    104,                0.57101,                0.32928,                0.90598,                0.91823,                0.84219,                0.89795,                0.55157,                  1.666,                0.68663,                  1.678,             0.00049015,             0.00049015,             0.00049015
                    105,                0.55986,                 0.3244,                0.89858,                0.91464,                0.83074,                0.89241,                0.55564,                 1.6115,                0.64508,                  1.631,              0.0004852,              0.0004852,              0.0004852
                    106,                0.57007,                 0.3277,                0.89828,                0.89604,                0.86951,                0.90202,                0.55928,                 1.6215,                0.65118,                 1.6363,             0.00048025,             0.00048025,             0.00048025
                    107,                0.56648,                0.32621,                 0.9014,                0.88001,                0.85522,                0.89518,                0.55399,                 1.6464,                0.66167,                 1.6462,              0.0004753,              0.0004753,              0.0004753
                    108,                0.56744,                0.32729,                0.90719,                0.93181,                0.83022,                 0.9022,                0.56416,                 1.5844,                0.66818,                 1.5823,             0.00047035,             0.00047035,             0.00047035
                    109,                0.57061,                0.32682,                0.90213,                0.91857,                0.82308,                0.89302,                0.55416,                 1.6235,                0.67026,                 1.6411,              0.0004654,              0.0004654,              0.0004654
                    110,                0.55844,                0.32103,                0.90241,                0.89884,                0.85687,                0.89369,                0.55603,                 1.6218,                  0.669,                 1.6503,             0.00046045,             0.00046045,             0.00046045
                    111,                0.55737,                0.31985,                0.89458,                0.90848,                 0.8552,                 0.8988,                0.55596,                 1.5887,                0.63914,                 1.6204,              0.0004555,              0.0004555,              0.0004555
                    112,                0.55303,                 0.3191,                0.89958,                0.89662,                0.86911,                0.90729,                0.56136,                 1.5901,                0.64149,                 1.6334,             0.00045055,             0.00045055,             0.00045055
                    113,                0.56203,                0.32651,                0.89987,                0.90861,                  0.843,                0.90271,                0.55907,                 1.5916,                0.65305,                 1.6197,              0.0004456,              0.0004456,              0.0004456
                    114,                0.55693,                0.32162,                0.89714,                0.88731,                0.85964,                0.89529,                0.55598,                 1.6443,                0.68303,                 1.6932,             0.00044065,             0.00044065,             0.00044065
                    115,                0.56271,                0.32416,                0.89541,                0.89872,                 0.8474,                0.89332,                0.55468,                 1.6316,                0.65929,                 1.6668,              0.0004357,              0.0004357,              0.0004357
                    116,                0.56089,                0.31951,                 0.8985,                0.90654,                0.84358,                0.88603,                0.55148,                  1.622,                0.67969,                 1.6217,             0.00043075,             0.00043075,             0.00043075
                    117,                0.55151,                0.31908,                0.89504,                0.88726,                0.84293,                 0.8935,                0.55072,                 1.6436,                0.69499,                 1.6714,              0.0004258,              0.0004258,              0.0004258
                    118,                 0.5532,                0.32003,                0.89446,                0.91372,                0.83512,                0.89155,                0.55121,                 1.6365,                0.69241,                 1.6674,             0.00042085,             0.00042085,             0.00042085
                    119,                0.55027,                0.31795,                 0.8973,                 0.9003,                0.85905,                0.89693,                0.55589,                 1.5954,                0.68725,                 1.6916,              0.0004159,              0.0004159,              0.0004159
                    120,                0.54745,                0.31616,                0.89697,                0.89512,                0.86496,                0.90033,                0.55706,                 1.5905,                0.66019,                 1.6731,             0.00041095,             0.00041095,             0.00041095
                    121,                0.53782,                0.31014,                0.89033,                0.90785,                0.84459,                0.89668,                0.56027,                 1.5695,                0.64575,                 1.6691,               0.000406,               0.000406,               0.000406
                    122,                0.53793,                0.31004,                 0.8956,                0.89891,                0.85716,                0.89805,                0.55963,                 1.5441,                   0.65,                 1.6718,             0.00040105,             0.00040105,             0.00040105
                    123,                0.53953,                 0.3162,                0.89701,                0.90151,                0.84266,                0.89065,                 0.5561,                 1.5625,                0.65058,                 1.6704,              0.0003961,              0.0003961,              0.0003961
                    124,                0.53856,                0.31296,                0.89287,                0.89792,                0.85215,                0.89545,                0.55389,                 1.5924,                0.63235,                 1.6584,             0.00039115,             0.00039115,             0.00039115
                    125,                0.53559,                0.30914,                0.89301,                0.88506,                0.86174,                0.89551,                0.55396,                 1.6067,                0.65904,                 1.6988,              0.0003862,              0.0003862,              0.0003862
                    126,                0.53708,                0.31232,                0.89318,                0.90706,                0.85407,                0.90052,                0.55951,                 1.5923,                0.64836,                 1.6506,             0.00038125,             0.00038125,             0.00038125
                    127,                0.54103,                0.31136,                0.89673,                0.92034,                0.83209,                 0.9006,                0.56352,                 1.6256,                0.65732,                 1.6897,              0.0003763,              0.0003763,              0.0003763
                    128,                0.53395,                0.31196,                0.89471,                0.91882,                0.83364,                0.89859,                0.55652,                 1.5818,                0.65954,                 1.6474,             0.00037135,             0.00037135,             0.00037135
                    129,                0.53485,                0.30938,                0.88832,                0.91912,                0.85447,                 0.9039,                0.55952,                 1.5874,                 0.6603,                 1.6706,              0.0003664,              0.0003664,              0.0003664
                    130,                0.53696,                0.31091,                0.89211,                0.90673,                0.84068,                0.89299,                0.56007,                 1.5688,                0.64416,                 1.6935,             0.00036145,             0.00036145,             0.00036145
                    131,                0.52744,                0.30604,                 0.8954,                0.88784,                0.85938,                0.89887,                0.56075,                  1.583,                0.65942,                 1.6848,              0.0003565,              0.0003565,              0.0003565
                    132,                  0.527,                0.30736,                 0.8897,                0.90824,                0.84039,                 0.8929,                0.55844,                  1.612,                0.66791,                 1.7038,             0.00035155,             0.00035155,             0.00035155
                    133,                0.52236,                0.30586,                0.88702,                0.91892,                0.83798,                0.89935,                0.55878,                 1.5618,                0.64522,                 1.6531,              0.0003466,              0.0003466,              0.0003466
                    134,                0.52438,                0.30348,                0.89051,                0.88733,                0.84308,                0.89252,                0.55958,                 1.5536,                0.64312,                 1.6736,             0.00034165,             0.00034165,             0.00034165
                    135,                0.51541,                0.30194,                0.88537,                0.92145,                0.83444,                0.90318,                0.56101,                 1.5775,                0.65743,                 1.6923,              0.0003367,              0.0003367,              0.0003367
                    136,                0.53197,                0.30877,                0.88907,                0.94362,                0.82313,                0.90089,                0.56492,                 1.5294,                0.63918,                 1.6497,             0.00033175,             0.00033175,             0.00033175
                    137,                0.51211,                0.30053,                0.88771,                0.92178,                0.82819,                0.89642,                0.56406,                 1.5691,                0.65333,                 1.6822,              0.0003268,              0.0003268,              0.0003268
                    138,                0.52057,                0.30166,                0.88733,                0.88177,                0.86732,                0.89893,                0.56745,                 1.5411,                0.65039,                 1.6502,             0.00032185,             0.00032185,             0.00032185
                    139,                0.51423,                0.30108,                0.88045,                0.92728,                0.83126,                0.90289,                0.56952,                 1.5502,                 0.6453,                 1.6465,              0.0003169,              0.0003169,              0.0003169
                    140,                0.51023,                0.29754,                0.88831,                0.89902,                0.84684,                0.89303,                0.55945,                 1.5792,                0.63389,                 1.6887,             0.00031195,             0.00031195,             0.00031195
                    141,                0.51676,                0.30267,                0.88888,                0.88554,                0.86564,                0.90365,                0.56611,                 1.6011,                0.65847,                 1.7076,               0.000307,               0.000307,               0.000307
