                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.84383,                0.69957,                 1.3295,                 1.0295,                0.78316,                 1.3157,                0.84957,                0.79537,                 0.8377,                0.47207,                  1.382,                 0.7537,                 1.6656,                 1.5155,                0.90715,                 1.5694,                0.00067,                0.00067,                0.00067
                     53,                0.84165,                0.68884,                  1.319,                 1.0198,                0.78256,                 1.3037,                0.85872,                0.77908,                0.83592,                0.47931,                  1.343,                0.76744,                 1.6464,                 1.4851,                 0.8757,                 1.5687,              0.0006634,              0.0006634,              0.0006634
                     54,                 0.8227,                 0.6877,                 1.3089,                 1.0063,                0.78455,                 1.2978,                0.84294,                0.78707,                0.83944,                0.48293,                 1.4004,                0.76129,                 1.7077,                 1.5563,                0.81746,                  1.633,              0.0006568,              0.0006568,              0.0006568
                     55,                0.82969,                0.67875,                 1.3083,                 1.0141,                0.75707,                 1.2919,                0.84898,                0.79291,                0.84778,                0.48694,                 1.3851,                0.75843,                 1.6878,                 1.5258,                 0.8485,                 1.6084,              0.0006502,              0.0006502,              0.0006502
                     56,                0.83282,                0.68753,                 1.3214,                 1.0075,                0.77525,                 1.3056,                0.84876,                0.78344,                0.84459,                0.48718,                 1.3358,                0.74225,                 1.6309,                 1.5525,                0.80431,                 1.5879,              0.0006436,              0.0006436,              0.0006436
                     57,                 0.8045,                0.66812,                 1.2988,                0.99077,                0.74057,                 1.2904,                0.86661,                0.76616,                0.83296,                0.47805,                 1.4171,                0.75111,                 1.6886,                 1.6129,                0.83687,                 1.6367,               0.000637,               0.000637,               0.000637
                     58,                0.80589,                0.67127,                 1.2908,                 0.9935,                0.74962,                 1.2797,                0.85914,                0.76258,                0.82806,                0.47532,                 1.3821,                0.74134,                 1.6997,                 1.5471,                0.85848,                 1.6067,              0.0006304,              0.0006304,              0.0006304
                     59,                0.82459,                 0.6714,                 1.2996,                 1.0118,                0.75166,                 1.2838,                0.84517,                0.78794,                0.84236,                0.48304,                 1.3493,                0.74358,                 1.6564,                 1.5513,                0.82742,                 1.5998,              0.0006238,              0.0006238,              0.0006238
                     60,                0.81438,                0.67476,                 1.3002,                0.98631,                0.74968,                 1.2873,                0.84929,                0.79184,                 0.8467,                0.47934,                 1.3478,                0.75034,                 1.6799,                 1.5556,                0.84937,                 1.6215,              0.0006172,              0.0006172,              0.0006172
                     61,                0.81779,                 0.6641,                 1.2869,                 1.0045,                0.74449,                 1.2694,                0.86722,                0.78655,                0.84214,                 0.4849,                 1.3372,                 0.7299,                  1.675,                 1.5358,                0.77997,                 1.6093,              0.0006106,              0.0006106,              0.0006106
                     62,                0.78538,                0.65768,                 1.2899,                0.95585,                0.73143,                   1.28,                0.86383,                0.77625,                0.84285,                0.48287,                 1.3364,                0.75181,                 1.6399,                 1.5115,                0.80024,                 1.5814,               0.000604,               0.000604,               0.000604
                     63,                0.80763,                0.65985,                 1.2854,                0.99348,                0.73212,                 1.2715,                0.84334,                0.77573,                0.84299,                0.48262,                 1.3832,                0.73208,                 1.6781,                 1.5614,                0.79535,                 1.6231,              0.0005974,              0.0005974,              0.0005974
                     64,                 0.8175,                0.66031,                 1.2892,                0.99803,                0.73853,                  1.275,                0.85911,                0.78249,                0.85009,                0.48065,                 1.3507,                0.73858,                 1.6502,                 1.5133,                0.86066,                  1.568,              0.0005908,              0.0005908,              0.0005908
                     65,                0.77661,                0.64921,                 1.2738,                0.95533,                 0.7238,                  1.262,                0.85632,                0.79309,                0.84393,                0.48447,                 1.3559,                0.74433,                 1.6487,                 1.5533,                0.87663,                 1.5941,              0.0005842,              0.0005842,              0.0005842
                     66,                0.77656,                0.64755,                 1.2721,                0.95045,                 0.7127,                  1.266,                0.84241,                0.79948,                0.84308,                0.48432,                 1.3426,                0.73837,                 1.6508,                 1.5155,                0.84939,                  1.569,              0.0005776,              0.0005776,              0.0005776
                     67,                0.77516,                0.64456,                 1.2724,                0.95111,                 0.7136,                 1.2623,                 0.8558,                0.80271,                 0.8502,                0.48881,                 1.2964,                0.72241,                 1.6238,                 1.4615,                0.80509,                 1.5581,               0.000571,               0.000571,               0.000571
